Date,Open,High,Low,Close,Volume
2024-11-22,499.8864,501.9774,498.2611,501.244,23826600
2024-11-25,505.3171,506.8532,499.7278,502.0368,26375200
2024-11-26,503.5135,505.555,502.6711,504.7324,26557100
2024-11-27,503.6027,503.672,497.4187,500.7584,24957400
2024-11-29,501.3828,505.7531,500.7683,505.1585,15334000
2024-12-02,506.417,511.6199,506.0305,510.6585,25147200
2024-12-03,509.3307,512.5019,508.7559,512.2244,18597900
2024-12-04,515.6435,518.8147,514.9299,518.5571,26086200
2024-12-05,518.6066,519.33,516.7335,517.1201,18169600
2024-12-06,517.784,521.9859,517.6552,521.748,23762600
2024-12-09,520.8263,521.6191,516.5352,517.6848,20674400
2024-12-10,518.9138,520.658,514.4939,515.921,24350000
2024-12-11,520.2814,525.841,519.8751,525.1572,32168600
2024-12-12,522.9374,524.2059,521.2923,521.768,23577500
2024-12-13,525.6923,528.3779,522.5607,525.7617,28780400
2024-12-16,528.2888,534.3042,528.2095,533.333,31979900
2024-12-17,531.5393,532.6492,529.3293,530.9843,28579100
2024-12-18,530.3401,532.0546,510.3811,511.828,54703200
2024-12-19,516.5057,517.0705,509.2118,509.5487,46441800
2024-12-20,505.8523,520.103,504.7126,513.9984,60530000
2024-12-23,515.7106,519.3832,512.3159,519.006,29672800
2024-12-24,520.9515,526.1329,520.3163,526.0436,17558200
2024-12-26,524.4158,527.3142,522.4207,525.6863,19090500
2024-12-27,522.1229,522.5596,514.0331,518.6984,33839600
2024-12-30,511.7005,515.5221,508.0477,511.7998,34584000
2024-12-31,513.0802,513.8346,506.4893,507.4521,29117000
2025-01-02,510.4994,512.8221,501.9729,506.4595,36389800
2025-01-03,509.5564,515.8099,508.7425,514.7478,29059500
2025-01-06,520.1477,524.0188,518.1724,520.6638,36109700
2025-01-07,521.706,522.103,509.487,511.3729,36690300
2025-01-08,511.2737,513.1,506.797,511.4622,30777800
2025-01-10,507.7003,507.7995,500.1962,503.442,40532500
2025-01-13,497.4962,502.2806,496.0073,501.824,31694200
2025-01-14,504.9805,506.39,497.8834,501.3476,33737200
2025-01-15,509.2389,514.0232,507.6804,512.8817,34957600
2025-01-16,515.1448,515.2243,509.1594,509.2885,28229000
2025-01-17,518.9862,520.1973,509.3182,517.8845,51837900
2025-01-21,520.6042,522.0832,516.2169,520.9218,23628000
2025-01-22,525.6567,529.8753,525.349,527.5823,33593000
2025-01-23,525.1304,528.8229,524.5448,528.7038,23096600
2025-01-24,529.081,529.8453,524.247,525.7161,19878300
2025-01-27,507.2238,514.1622,506.3801,510.4101,60771700
2025-01-28,511.4126,519.1351,507.998,517.9539,33194200
2025-01-29,518.5992,518.7282,513.0803,516.9812,26649000
2025-01-30,519.8398,522.2121,514.3805,519.1847,27431300
2025-01-31,523.0261,527.5921,517.3385,518.4303,38755200
2025-02-03,509.6755,517.001,507.2734,514.2812,40580800
2025-02-04,514.7974,521.2295,514.4004,520.5942,26046800
2025-02-05,517.9639,523.1155,516.7727,522.9567,21134100
2025-02-06,523.4629,525.8948,521.8549,525.6863,19434500
2025-02-07,526.2224,528.1679,518.3311,519.0557,29605500
2025-02-10,523.3238,526.4406,522.8573,525.3389,20852800
2025-02-11,522.0733,526.004,521.9442,524.0883,19325500
2025-02-12,518.4403,525.2794,518.0929,524.3959,25009400
2025-02-13,526.0635,532.2574,525.2794,531.9398,28714800
2025-02-14,532.049,534.8581,531.7115,534.1732,17862600
2025-02-18,535.7415,536.0095,532.0787,535.3842,20565000
2025-02-19,534.5901,536.8135,532.4957,535.5331,19666900
2025-02-20,534.7489,535.1161,528.5252,533.2599,26550800
2025-02-21,534.4015,534.4213,521.8251,522.1924,47093800
2025-02-24,523.9791,525.1603,515.6908,516.0283,39268400
2025-02-25,515.4029,515.4823,505.6753,509.5266,48940000
2025-02-26,511.7202,515.8197,507.591,510.7574,34457600
2025-02-27,514.3011,515.2342,496.3547,496.5731,52448000
2025-02-28,496.4342,505.0202,493.2578,504.4148,47654000
2025-03-03,507.74,509.2487,489.9325,493.3769,44587200
2025-03-04,490.5281,500.0174,484.1357,491.888,67875400
2025-03-05,492.5332,499.9083,487.6297,498.3003,46323700
2025-03-06,490.0418,494.8956,482.6071,484.5923,57574300
2025-03-07,483.56,489.6347,476.979,488.1558,54714700
2025-03-10,479.8774,480.3935,465.1967,469.2366,76668000
2025-03-11,468.8594,475.2717,463.5589,468.115,68760800
2025-03-12,475.6191,477.5051,468.3036,473.3957,46971100
2025-03-13,472.7306,472.7604,462.9831,464.879,46563300
2025-03-14,470.2292,477.0088,469.6237,476.1154,43563000
2025-03-17,476.0657,482.2497,474.2691,479.2024,41744400
2025-03-18,475.8673,476.0658,468.919,471.0333,39072300
2025-03-19,473.2865,481.7435,471.3608,477.3363,40430300
2025-03-20,473.356,480.9693,472.6611,475.7184,36780500
2025-03-21,470.5766,478.051,469.4153,477.2867,42234900
2025-03-24,484.8576,488.6054,481.5374,487.7604,34567200
2025-03-25,488.4861,490.7029,487.5219,490.5439,26035200
2025-03-26,489.3907,490.2456,479.9667,481.5175,34627100
2025-03-27,479.5592,483.7045,477.412,478.7739,33469800
2025-03-28,476.9746,477.6803,465.284,466.1688,46363800
2025-03-31,459.1903,467.0833,454.6274,466.1489,53000300
2025-04-01,464.5384,470.8311,461.6755,469.9066,41156200
2025-04-02,463.3655,476.726,463.107,473.3362,49894500
2025-04-03,453.7427,457.3512,447.4799,447.9968,70456300
2025-04-04,435.5508,437.7676,420.1722,420.1722,117088400
2025-04-07,406.245,440.5213,400.0121,421.1862,161557000
2025-04-08,435.5707,440.5212,407.3683,413.6013,101248100
